source_row_id,grave_no,sample,site,d13c,d15n,sex,age_category,chronology,social_category
3,BA 01,Costa,La Bastida,-19.200697862861695,10.393354091236,nd,Infans I,?,5
4,BA 02,Costa,La Bastida,-18.258178619505898,13.892655968127203,nd,Infans I,3,5
5,BAS 4,Phalanx media manus,La Bastida,-19.0419012613542,10.870000000000001,Male ?,Adult,3,3 – 4
6,BA 05,Costa,La Bastida,-18.366685169588003,12.5222456977946,nd,Infans I,3,5
7,BA 06/1,Costa,La Bastida,-19.0932904059866,10.848755773996999,Male,Young adult,,4
8,BA 06/2,Costa,La Bastida,-18.521608592430898,11.1655150297115,nd,Neonate,3,4
9,BA 07,Costa,La Bastida,-18.517935477997803,12.535042973285602,nd,Neonate,3,5
10,BA 12/1,Costa,La Bastida,-18.501037164209603,11.8716076224507,Male,Middle/Old adult,2,3
11,BA 12/2,Costa,La Bastida,-18.795787545817696,10.584679654988701,Female,Middle adult,2,3
12,BA 18/1,Costa,La Bastida,-18.9574912680718,10.634070352693698,Male,Young adult,3,3
13,BA 18/2,Costa,La Bastida,-19.4519458450872,9.837086500678021,Male,Young Adult,3,3
14,BA 20,Costa,La Bastida,-19.2458780573989,9.98187679443619,nd,Infans II,3,5
15,BA 23/1,Costa,La Bastida,-17.796634268978696,12.488999534810201,nd,Infans I,3,5
16,BA 23/2,Costa,La Bastida,-17.391950092100103,13.3344295645848,nd,Infans I,3,5
17,BA 24,Costa,La Bastida,-18.217996447666103,12.8869051885743,nd,Infans I,3,4
18,BA 26,Costa,La Bastida,-17.368196129808602,14.226073358445499,nd,Infans I,3,5
19,BA 27,Costa,La Bastida,-18.878240975424195,12.147276044218698,nd,Neonate,3,5
20,BA 29,Costa,La Bastida,-19.025567621575597,11.444018280956898,nd,Infans I,2,4
21,BA 40/1,Costa,La Bastida,-18.4449150722901,11.722386763755399,Female,Adult,2,1
22,BA 40/2,Costa,La Bastida,-18.409716531456194,11.749283057111398,Male,Young/Middle adult,2,1
23,BA 41,Costa,La Bastida,-18.836244672223096,13.2173946282542,nd,Neonate,3,5
24,BA 42,Costa,La Bastida,-18.905916201228894,10.5909518388881,nd,Infans I,3,5
25,BA 45,Costa,La Bastida,-17.937336538550397,13.614805466390997,nd,Infans I,3,5
26,BA 46,Costa,La Bastida,-19.233945302152502,9.901248954200119,nd,Infans II,3,4
27,BA 47,Costa,La Bastida,-18.8862061592598,11.1616669515117,nd,Neonate,3,5
28,BA 48,Costa,La Bastida,-19.208957119057004,9.50793512703627,Female,Young adult,3,3 – 4
29,BA 49,Costa,La Bastida,-19.110000000000003,10.99,Female,Juvenile,3,4
30,BA 50,Costa,La Bastida,-18.356624371571193,13.838438855629603,nd,Infans I,,5
31,BA 51,Costa,La Bastida,-19.385424236462892,10.9185403824512,nd,Infans I,3,5
32,BA 59,Costa,La Bastida,-18.8041415699345,11.726056069409301,nd,Infans I,3,5
33,BA 60,Costa,La Bastida,-18.131191021899806,11.217590108033399,Female,Middle adult,2,1
34,BA 61/1,Costa,La Bastida,-18.7678334968635,10.348529618909602,Male,Middle adult,3,3 – 4
